iter	Logloss
0	0.6745977187
1	0.6589005987
2	0.6441219673
3	0.6310627481
4	0.6195273802
5	0.608974417
6	0.5997946238
7	0.5913459313
8	0.5839233871
9	0.5771212786
10	0.5709031771
11	0.5653226077
12	0.5601050847
13	0.555394585
14	0.551073165
15	0.5472065165
16	0.5438849252
17	0.5407839473
18	0.5377528611
19	0.5351079755
20	0.5328385996
21	0.530597847
22	0.5286087148
23	0.5263510312
24	0.5243402262
25	0.5227878497
26	0.5210983552
27	0.5196360251
28	0.5181538071
29	0.5167735775
30	0.5156059254
31	0.5145819504
32	0.5135073995
33	0.5124721195
34	0.5114541572
35	0.5106207687
36	0.5099140947
37	0.5089519242
38	0.5082333503
39	0.5075379393
40	0.5068886942
41	0.5061909967
42	0.5055618956
43	0.5050370975
44	0.504513021
45	0.5039601961
46	0.503411668
47	0.5029049531
48	0.5024246345
49	0.5020271792
50	0.5016402809
51	0.5012717217
52	0.500814942
53	0.5003285839
54	0.4999119366
55	0.4996180827
56	0.4992719024
57	0.4990019934
58	0.4987099493
59	0.4984002303
60	0.4980983576
61	0.4978231657
62	0.4975208219
63	0.4971376492
64	0.496862416
65	0.4966393519
66	0.4964337423
67	0.4962343513
68	0.4958994587
69	0.4955968625
70	0.4953748096
71	0.4951946814
72	0.4949994147
73	0.494772453
74	0.4946170156
75	0.4944361972
76	0.4942811075
77	0.4940950549
78	0.4939387541
79	0.493731285
80	0.4935416325
81	0.4934049434
82	0.4932921143
83	0.4930918542
84	0.4929505672
85	0.4927831259
86	0.4926652137
87	0.492503926
88	0.492385522
89	0.4922199116
90	0.4921033521
91	0.4919001966
92	0.4917189353
93	0.4915591847
94	0.4914235649
95	0.4913485082
96	0.4911917589
97	0.4910877356
98	0.490933157
99	0.4908131929
100	0.4907228742
101	0.4905975509
102	0.4904871232
103	0.4903834215
104	0.4902663358
105	0.4901664623
106	0.490054249
107	0.4899647501
108	0.489884524
109	0.4897813275
110	0.4897047737
111	0.4896059203
112	0.48949825
113	0.4894000064
114	0.4893389474
115	0.4892673789
116	0.4891815629
117	0.4890920505
118	0.4890248381
119	0.4889499432
120	0.4888899845
121	0.488824177
122	0.4887615804
123	0.4886677932
124	0.4885901338
125	0.4885385455
126	0.4884611223
127	0.4883419982
128	0.4882623476
129	0.4881936612
130	0.4881381179
131	0.4880511621
132	0.487929992
133	0.4878770494
134	0.4878043284
135	0.4877385803
136	0.4876741658
137	0.4876136596
138	0.4875618814
139	0.4874908502
140	0.4874279495
141	0.4873674329
142	0.4873008765
143	0.4872334165
144	0.4871417524
145	0.4870851319
146	0.4870158286
147	0.486962201
148	0.4869002735
149	0.4868682947
150	0.4868119164
151	0.4867347119
152	0.4866904092
153	0.4866321198
154	0.4865630109
155	0.4865122369
156	0.4864599109
157	0.4863763224
158	0.4863165415
159	0.4862535222
160	0.4861864085
161	0.4861304795
162	0.4860647369
163	0.4860192893
164	0.4859741908
165	0.4859282448
166	0.4858777623
167	0.4858233096
168	0.4857881738
169	0.4857314753
170	0.4856853072
171	0.4856405599
172	0.4855766266
173	0.4855258505
174	0.4854760575
175	0.4854256294
176	0.4853731873
177	0.4853203117
178	0.4852855588
179	0.4852373964
