iter	Passed	Remaining
0	31	12375
1	56	11328
2	84	11177
3	110	10912
4	136	10771
5	162	10639
6	188	10601
7	213	10453
8	238	10374
9	262	10245
10	287	10171
11	312	10119
12	338	10064
13	363	10008
14	388	9974
15	411	9884
16	437	9853
17	464	9853
18	493	9889
19	517	9823
20	540	9748
21	565	9713
22	589	9666
23	614	9628
24	637	9558
25	660	9494
26	684	9454
27	709	9426
28	733	9386
29	757	9344
30	782	9314
31	806	9274
32	829	9228
33	852	9181
34	879	9167
35	904	9141
36	928	9110
37	953	9081
38	978	9058
39	1003	9030
40	1027	9000
41	1051	8959
42	1074	8917
43	1098	8888
44	1123	8861
45	1147	8833
46	1174	8820
47	1201	8809
48	1228	8800
49	1255	8788
50	1280	8762
51	1307	8747
52	1335	8745
53	1359	8707
54	1383	8678
55	1408	8649
56	1432	8618
57	1455	8579
58	1478	8543
59	1503	8520
60	1527	8490
61	1553	8466
62	1578	8446
63	1604	8422
64	1628	8391
65	1652	8361
66	1676	8330
67	1700	8302
68	1724	8271
69	1746	8233
70	1770	8204
71	1796	8185
72	1820	8154
73	1844	8127
74	1869	8099
75	1894	8074
76	1917	8044
77	1943	8024
78	1969	8001
79	1993	7972
80	2017	7946
81	2041	7917
82	2066	7892
83	2091	7866
84	2115	7839
85	2139	7813
86	2164	7787
87	2188	7760
88	2212	7733
89	2236	7703
90	2260	7675
91	2283	7644
92	2306	7613
93	2329	7584
94	2352	7554
95	2377	7527
96	2399	7496
97	2424	7470
98	2447	7441
99	2472	7416
100	2495	7388
101	2519	7362
102	2543	7335
103	2567	7306
104	2591	7280
105	2615	7254
106	2641	7232
107	2665	7206
108	2689	7179
109	2713	7153
110	2736	7124
111	2761	7100
112	2784	7071
113	2808	7045
114	2831	7016
115	2855	6991
116	2880	6966
117	2904	6941
118	2929	6917
119	2953	6890
120	2976	6863
121	2999	6835
122	3024	6812
123	3049	6786
124	3075	6766
125	3099	6740
126	3124	6716
127	3148	6690
128	3173	6666
129	3195	6636
130	3218	6608
131	3241	6581
132	3266	6558
133	3290	6531
134	3314	6505
135	3339	6481
136	3362	6455
137	3386	6430
138	3410	6403
139	3433	6376
140	3458	6352
141	3483	6328
142	3507	6303
143	3531	6278
144	3556	6254
145	3580	6228
146	3604	6203
147	3629	6179
148	3652	6153
149	3676	6128
150	3702	6105
151	3726	6080
152	3748	6052
153	3773	6028
154	3797	6002
155	3821	5977
156	3846	5953
157	3869	5926
158	3892	5900
159	3915	5873
160	3939	5848
161	3965	5825
162	3989	5800
163	4014	5776
164	4037	5750
165	4061	5724
166	4084	5699
167	4108	5674
168	4131	5647
169	4154	5621
170	4178	5596
171	4202	5571
172	4224	5542
173	4246	5516
174	4270	5490
175	4294	5465
176	4315	5437
177	4338	5410
178	4360	5384
179	4385	5360
180	4409	5334
181	4434	5311
182	4458	5286
183	4483	5263
184	4507	5238
185	4532	5214
186	4555	5188
187	4579	5163
188	4603	5139
189	4626	5113
190	4648	5086
191	4672	5061
192	4696	5036
193	4721	5013
194	4746	4989
195	4770	4965
196	4794	4940
197	4819	4916
198	4842	4890
199	4867	4867
200	4891	4843
201	4917	4820
202	4940	4794
203	4964	4770
204	4988	4745
205	5010	4718
206	5034	4694
207	5057	4668
208	5081	4644
209	5105	4619
210	5129	4594
211	5155	4571
212	5180	4547
213	5205	4524
214	5229	4499
215	5251	4473
216	5274	4448
217	5297	4422
218	5324	4400
219	5346	4374
220	5371	4350
221	5394	4325
222	5417	4299
223	5440	4274
224	5464	4250
225	5489	4226
226	5514	4203
227	5539	4178
228	5564	4154
229	5587	4129
230	5610	4104
231	5632	4078
232	5656	4054
233	5679	4029
234	5703	4004
235	5728	3981
236	5754	3957
237	5778	3933
238	5800	3907
239	5823	3882
240	5847	3857
241	5870	3832
242	5895	3809
243	5920	3785
244	5943	3759
245	5966	3735
246	5990	3710
247	6016	3687
248	6040	3663
249	6066	3639
250	6090	3615
251	6114	3591
252	6139	3567
253	6162	3542
254	6186	3517
255	6209	3493
256	6234	3469
257	6258	3444
258	6282	3420
259	6306	3395
260	6329	3371
261	6354	3347
262	6379	3322
263	6402	3298
264	6428	3274
265	6455	3251
266	6480	3228
267	6505	3204
268	6532	3181
269	6557	3157
270	6582	3133
271	6606	3109
272	6630	3084
273	6653	3059
274	6676	3034
275	6699	3010
276	6724	2985
277	6749	2961
278	6773	2937
279	6797	2913
280	6820	2888
281	6843	2863
282	6868	2839
283	6893	2815
284	6915	2790
285	6943	2767
286	6966	2743
287	6989	2718
288	7013	2693
289	7036	2669
290	7057	2643
291	7082	2619
292	7107	2595
293	7133	2571
294	7154	2546
295	7178	2522
296	7202	2497
297	7225	2473
298	7249	2448
299	7272	2424
300	7294	2399
301	7319	2375
302	7343	2350
303	7367	2326
304	7390	2301
305	7415	2277
306	7438	2253
307	7462	2229
308	7486	2204
309	7510	2180
310	7534	2156
311	7557	2131
312	7584	2108
313	7609	2084
314	7633	2059
315	7656	2035
316	7680	2011
317	7703	1986
318	7726	1961
319	7749	1937
320	7773	1913
321	7797	1888
322	7821	1864
323	7844	1840
324	7869	1815
325	7892	1791
326	7917	1767
327	7942	1743
328	7964	1718
329	7987	1694
330	8012	1670
331	8035	1645
332	8058	1621
333	8081	1596
334	8106	1572
335	8129	1548
336	8152	1524
337	8177	1499
338	8200	1475
339	8222	1451
340	8247	1427
341	8270	1402
342	8294	1378
343	8318	1354
344	8342	1330
345	8366	1305
346	8390	1281
347	8413	1257
348	8435	1232
349	8460	1208
350	8488	1184
351	8511	1160
352	8535	1136
353	8559	1112
354	8582	1087
355	8604	1063
356	8628	1039
357	8651	1014
358	8673	990
359	8698	966
360	8721	942
361	8744	917
362	8768	893
363	8793	869
364	8817	845
365	8841	821
366	8865	797
367	8889	772
368	8913	748
369	8936	724
370	8960	700
371	8985	676
372	9007	652
373	9030	627
374	9054	603
375	9077	579
376	9100	555
377	9124	531
378	9147	506
379	9169	482
380	9192	458
381	9215	434
382	9240	410
383	9262	385
384	9286	361
385	9309	337
386	9331	313
387	9354	289
388	9378	265
389	9401	241
390	9426	216
391	9451	192
392	9475	168
393	9498	144
394	9524	120
395	9548	96
396	9572	72
397	9596	48
398	9621	24
399	9645	0
